source,target,context
Standard folders cannot be deleted. Please enable developer mode to delete standard folders.,标准文件夹无法删除。请开启开发者模式以删除标准文件夹。,
Standard folders cannot be modified. Please enable developer mode to edit standard folders.,标准文件夹无法修改。请开启开发者模式以编辑标准文件夹。,
Structure,结构,
Style,样式,
Style Public URL,样式公开网址,
Target Component,目标组件,
Template Group,模板组,
Template Name,模板名称,
Template group not found.,未找到模板组。,
Template pages can only be deleted in developer mode.,模板页面只能在开发者模式下删除。,
Template pages can only be modified in developer mode.,模板页面只能在开发者模式下修改。,
Text,文本,
The component you are trying to replace with does not exist,您尝试替换的组件不存在,
"The preferred URL version of this page for search engines. If not set, the current page URL will be used.",搜索引擎偏好的此页面网址版本。若未设置，将使用当前页面网址。,
This will be appended at the end of the &lt;body&gt;,这将附加到 &lt;body&gt; 末尾,
This will be appended at the end of the &lt;head&gt;,这将附加到 &lt;head&gt; 末尾,
Title,标题,
Type,类型,
Typography,排版,
Unrestricted,不受限,
Unsafe template fixture name: {0},不安全的模板 fixture 名称：{0},
Used in 1 page,用于 1 个页面,
Used in {0} pages,用于 {0} 个页面,
Value,值,
Variable Name,变量名称,
Visitor ID,访客 ID,
You do not have permission to modify pages,您没有权限修改页面,
You do not have permission to read pages,您没有权限读取页面,
"data.events = frappe.get_list(""Event"")
<br>
<b>Note:</b> Each key value of data should be a list.","data.events = frappe.get_list(""Event"")
<br>
<b>注意：</b>data 的每个键值都应为列表。",
